datetime,open,high,low,close,volume
2015-05-01,1179.27,1179.27,1171.16,1175.67,0.0
2015-05-04,1178.67,1190.58,1178.67,1187.98,0.0
2015-05-05,1188.68,1199.89,1188.08,1194.39,0.0
2015-05-06,1190.48,1195.79,1182.68,1185.34,0.0
2015-05-07,1182.68,1187.18,1180.87,1183.58,0.0
2015-05-08,1184.48,1188.68,1184.08,1185.46,0.0
2015-05-11,1190.88,1191.68,1180.47,1184.38,0.0
2015-05-12,1195.79,1195.99,1190.88,1193.79,0.0
2015-05-13,1193.89,1218.51,1192.18,1212.86,0.0
2015-05-14,1215.71,1226.82,1215.71,1226.62,0.0
2015-05-15,1219.71,1225.92,1216.01,1223.05,0.0
2015-05-18,1225.72,1229.32,1223.82,1229.02,0.0
2015-05-19,1225.12,1225.12,1207.2,1208.1,0.0
2015-05-20,1206.3,1212.0,1206.3,1210.1,0.0
2015-05-21,1207.65,1212.81,1204.9,1208.93,0.0
2015-05-22,1208.08,1213.11,1194.79,1195.32,0.0
2015-05-26,1194.79,1196.19,1187.18,1188.38,0.0
2015-05-28,1188.28,1193.19,1180.77,1189.28,0.0
2015-05-29,1188.98,1194.49,1186.88,1190.58,0.0
2015-06-01,1191.78,1205.2,1185.48,1189.48,0.0
2015-06-02,1190.18,1196.09,1187.18,1195.29,0.0
2015-06-03,1195.09,1195.09,1180.27,1185.88,0.0
2015-06-04,1186.08,1186.68,1174.17,1176.07,0.0
2015-06-05,1177.57,1178.47,1164.46,1168.96,0.0
2015-06-08,1170.66,1177.27,1170.26,1174.37,0.0
2015-06-09,1174.07,1182.78,1173.87,1178.47,0.0
2015-06-10,1177.27,1191.28,1176.77,1187.28,0.0
2015-06-11,1184.38,1184.38,1175.57,1181.07,0.0
2015-06-12,1181.57,1182.38,1177.37,1179.97,0.0
2015-06-15,1181.07,1189.68,1173.87,1186.48,0.0
2015-06-16,1187.68,1187.68,1177.07,1181.67,0.0
2015-06-17,1178.77,1187.48,1176.07,1177.57,0.0
2015-06-18,1184.58,1203.2,1184.58,1202.7,0.0
2015-06-19,1202.05,1204.3,1198.99,1199.07,0.0
2015-06-22,1198.99,1198.99,1183.88,1184.88,0.0
2015-06-23,1184.98,1187.18,1177.97,1181.23,0.0
2015-06-24,1177.77,1178.57,1171.86,1173.77,0.0
2015-06-25,1176.64,1177.07,1171.66,1173.04,0.0
2015-06-26,1185.76,1186.28,1171.66,1182.27,0.0
2015-06-29,1186.28,1187.18,1174.97,1179.67,0.0
2015-06-30,1177.47,1177.57,1167.76,1172.67,0.0
2015-07-01,1174.27,1174.27,1167.76,1170.16,0.0
2015-07-02,1167.56,1169.26,1156.65,1164.16,0.0
2015-07-06,1165.06,1174.17,1163.36,1174.07,0.0
2015-07-07,1167.96,1167.96,1150.64,1153.55,0.0
2015-07-08,1153.75,1162.86,1147.54,1152.5,0.0
2015-07-09,1155.95,1164.76,1155.95,1160.15,0.0
2015-07-10,1161.25,1164.06,1158.65,1158.85,0.0
2015-07-13,1160.15,1160.15,1152.35,1156.35,0.0
2015-07-14,1158.35,1158.35,1154.15,1154.45,0.0
2015-07-15,1155.15,1155.35,1145.94,1148.34,0.0
2015-07-16,1147.34,1147.34,1144.04,1144.94,0.0
2015-07-17,1145.14,1145.14,1131.32,1132.93,0.0
2015-07-20,1131.52,1131.82,1096.19,1107.8,0.0
2015-07-21,1104.85,1107.5,1094.09,1099.05,0.0
2015-07-22,1094.09,1096.09,1087.08,1092.49,0.0
2015-07-23,1098.49,1098.69,1088.88,1095.09,0.0
2015-07-24,1079.67,1101.8,1079.67,1086.68,0.0
2015-07-27,1101.09,1103.6,1094.99,1097.59,0.0
2015-07-28,1098.29,1098.79,1098.09,1098.69,0.0
2015-07-29,1097.49,1097.99,1094.69,1096.6,0.0
2015-07-30,1097.19,1098.59,1082.08,1089.48,0.0
2015-07-31,1088.78,1103.9,1080.17,1095.99,0.0
2015-08-03,1096.59,1098.19,1086.08,1090.48,0.0
2015-08-04,1086.18,1094.99,1081.57,1091.79,0.0
2015-08-05,1087.58,1091.68,1083.58,1086.78,0.0
2015-08-06,1085.48,1093.29,1084.68,1091.28,0.0
2015-08-07,1089.98,1099.39,1082.78,1095.19,0.0
2015-08-10,1094.29,1108.7,1090.58,1105.3,0.0
2015-08-11,1104.9,1117.81,1095.09,1108.7,0.0
2015-08-12,1107.1,1125.62,1102.6,1124.32,0.0
2015-08-13,1125.42,1125.42,1114.11,1116.81,0.0
2015-08-14,1115.01,1119.91,1113.61,1114.01,0.0
2015-08-17,1114.91,1123.12,1114.91,1119.71,0.0
2015-08-18,1119.31,1119.51,1111.1,1118.21,0.0
2015-08-19,1118.11,1135.43,1117.91,1129.22,0.0
2015-08-20,1133.93,1154.45,1133.93,1154.15,0.0
2015-08-21,1155.25,1167.66,1151.64,1160.75,0.0
2015-08-24,1165.16,1170.16,1148.64,1154.55,0.0
2015-08-25,1152.65,1156.65,1135.13,1139.33,0.0
2015-08-26,1140.33,1144.14,1120.71,1125.72,0.0
2015-08-27,1128.32,1128.52,1119.51,1123.52,0.0
2015-08-28,1126.42,1140.13,1124.72,1134.23,0.0
2015-08-31,1132.23,1135.13,1125.92,1132.73,0.0
2015-09-01,1134.63,1145.84,1134.63,1139.83,0.0
2015-09-02,1138.43,1141.53,1131.92,1133.63,0.0
2015-09-03,1131.42,1134.03,1121.41,1124.82,0.0
2015-09-04,1124.52,1126.32,1117.31,1121.71,0.0
2015-09-08,1120.91,1123.62,1117.51,1121.51,0.0
2015-09-09,1124.62,1124.62,1103.2,1103.3,0.0
2015-09-10,1108.4,1114.61,1106.6,1110.6,0.0
2015-09-11,1111.91,1112.81,1099.29,1104.6,0.0
2015-09-14,1108.9,1109.7,1105.2,1108.8,0.0
2015-09-15,1110.2,1110.9,1104.1,1104.99,0.0
2015-09-16,1110.9,1121.01,1110.9,1120.31,0.0
2015-09-17,1119.71,1131.62,1118.21,1118.41,0.0
2015-09-18,1129.42,1142.34,1128.92,1139.23,0.0
2015-09-21,1138.73,1139.63,1131.92,1134.23,0.0
2015-09-22,1133.73,1136.13,1123.62,1126.12,0.0
2015-09-23,1129.87,1134.13,1129.42,1131.97,0.0
2015-09-24,1134.13,1157.05,1134.13,1154.95,0.0
2015-09-25,1141.89,1150.94,1134.33,1139.23,0.0
2015-09-28,1134.33,1134.33,1134.23,1134.31,0.0
2015-09-29,1133.33,1135.53,1125.42,1128.22,0.0
2015-09-30,1125.42,1127.12,1113.21,1116.61,0.0
2015-10-01,1116.31,1120.11,1114.41,1115.31,0.0
2015-10-02,1113.31,1142.34,1106.9,1138.23,0.0
2015-10-05,1138.23,1142.84,1133.63,1139.23,0.0
2015-10-06,1137.43,1151.14,1137.43,1147.94,0.0
2015-10-07,1148.74,1154.05,1144.14,1150.14,0.0
2015-10-08,1152.1,1152.75,1139.83,1146.22,0.0
2015-10-09,1152.75,1158.35,1152.75,1157.45,0.0
2015-10-12,1157.05,1167.96,1157.05,1166.06,0.0
2015-10-13,1162.6,1173.57,1156.05,1161.52,0.0
2015-10-14,1173.57,1190.18,1168.46,1181.27,0.0
2015-10-15,1185.38,1189.48,1178.97,1189.08,0.0
2015-10-16,1183.68,1185.28,1177.37,1184.78,0.0
2015-10-19,1177.67,1178.97,1170.46,1174.47,0.0
2015-10-20,1169.86,1180.27,1169.86,1179.17,0.0
2015-10-21,1177.07,1177.57,1166.06,1168.76,0.0
2015-10-22,1167.36,1169.76,1164.66,1167.76,0.0
2015-10-23,1167.36,1179.87,1164.46,1164.46,0.0
2015-10-26,1166.26,1171.16,1164.96,1168.16,0.0
2015-10-27,1167.6,1176.27,1163.16,1164.72,0.0
2015-10-28,1159.53,1183.88,1159.15,1182.21,0.0
2015-10-29,1159.15,1163.16,1146.04,1148.34,0.0
2015-10-30,1148.64,1148.74,1140.33,1142.64,0.0
2015-11-02,1139.03,1139.83,1133.73,1136.93,0.0
2015-11-03,1134.43,1135.83,1115.31,1115.31,0.0
2015-11-04,1120.11,1123.02,1107.8,1113.72,0.0
2015-11-05,1109.0,1111.8,1105.6,1106.95,0.0
2015-11-06,1106.3,1110.6,1085.88,1088.68,0.0
2015-11-09,1089.68,1089.68,1089.68,1089.68,0.0
2015-11-10,1091.18,1092.39,1086.08,1089.28,0.0
2015-11-11,1092.49,1092.49,1085.28,1085.78,0.0
2015-11-12,1087.08,1087.68,1087.08,1087.34,0.0
2015-11-13,1084.18,1086.98,1082.38,1083.67,0.0
2015-11-16,1083.91,1093.49,1076.57,1090.29,0.0
2015-11-17,1076.57,1076.87,1066.16,1069.76,0.0
2015-11-18,1077.77,1078.47,1065.06,1071.01,0.0
2015-11-19,1078.47,1083.48,1078.47,1079.07,0.0
2015-11-20,1080.2,1083.98,1071.06,1071.53,0.0
2015-11-23,1073.96,1074.27,1068.36,1069.92,0.0
2015-11-24,1071.94,1080.47,1071.26,1077.25,0.0
2015-11-25,1071.26,1073.07,1069.56,1071.56,0.0
2015-11-27,1071.77,1075.27,1052.15,1057.25,0.0
2015-11-30,1057.55,1069.46,1053.15,1066.86,0.0
2015-12-01,1065.66,1075.67,1064.46,1064.86,0.0
2015-12-02,1069.76,1070.56,1050.64,1055.25,0.0
2015-12-03,1055.45,1065.66,1047.24,1062.76,0.0
2015-12-04,1064.06,1089.88,1059.75,1085.58,0.0
2015-12-07,1085.98,1087.58,1068.46,1077.47,0.0
2015-12-08,1072.07,1079.47,1070.66,1077.37,0.0
2015-12-09,1076.17,1087.08,1071.67,1078.67,0.0
2015-12-10,1074.07,1077.37,1072.77,1074.17,0.0
2015-12-11,1068.86,1080.47,1065.46,1077.97,0.0
2015-12-14,1075.07,1077.77,1061.05,1065.76,0.0
2015-12-15,1065.66,1067.26,1062.86,1063.96,0.0
2015-12-16,1065.86,1079.77,1065.36,1079.07,0.0
2015-12-17,1073.67,1073.67,1051.55,1051.85,0.0
2015-12-18,1054.75,1071.36,1053.75,1067.26,0.0
2015-12-21,1071.26,1082.58,1071.26,1081.97,0.0
2015-12-22,1079.67,1079.67,1074.87,1075.87,0.0
2015-12-23,1075.57,1075.87,1071.06,1073.34,0.0
2015-12-24,1075.37,1078.87,1074.57,1078.27,0.0
2015-12-28,1078.97,1099.89,1074.67,1084.09,0.0
2015-12-29,1076.97,1080.77,1069.66,1076.71,0.0
2015-12-30,1069.66,1071.26,1060.75,1061.15,0.0
2015-12-31,1061.26,1064.46,1059.55,1063.94,0.0
2016-01-04,1064.46,1083.58,1064.26,1076.17,0.0
2016-01-05,1076.67,1082.58,1076.37,1079.47,0.0
2016-01-06,1082.68,1094.79,1082.68,1092.99,0.0
2016-01-07,1092.69,1110.5,1092.69,1108.8,0.0
2016-01-08,1112.21,1112.21,1094.09,1098.89,0.0
2016-01-11,1106.8,1109.0,1097.59,1097.59,0.0
2016-01-12,1094.89,1099.59,1085.08,1086.68,0.0
2016-01-13,1082.58,1094.99,1082.58,1088.58,0.0
2016-01-14,1092.59,1092.59,1074.77,1074.97,0.0
2016-01-15,1086.08,1096.89,1082.88,1092.59,0.0
2016-01-19,1090.76,1100.89,1085.98,1089.19,0.0
2016-01-20,1100.89,1110.9,1100.89,1108.2,0.0
2016-01-21,1104.7,1104.7,1095.19,1100.19,0.0
2016-01-22,1099.09,1104.3,1099.09,1099.3,0.0
2016-01-25,1108.67,1116.21,1100.39,1105.57,0.0
2016-01-26,1116.21,1117.01,1115.41,1116.41,0.0
2016-01-27,1118.91,1118.91,1116.91,1117.21,0.0
2016-01-28,1126.52,1126.82,1110.9,1116.71,0.0
2016-01-29,1115.51,1119.71,1109.9,1117.51,0.0
2016-02-01,1117.81,1131.12,1116.41,1129.02,0.0
2016-02-02,1129.42,1132.53,1124.12,1128.42,0.0
2016-02-03,1129.62,1147.14,1126.12,1142.44,0.0
2016-02-04,1143.64,1158.45,1142.14,1145.45,0.0
2016-02-05,1156.75,1175.97,1147.14,1158.95,0.0
2016-02-08,1174.67,1201.59,1166.16,1199.09,0.0
2016-02-09,1189.88,1200.39,1187.88,1199.89,0.0
2016-02-10,1183.37,1206.8,1183.28,1197.52,0.0
2016-02-11,1206.8,1262.05,1205.8,1249.14,0.0
2016-02-12,1249.04,1249.04,1234.73,1240.33,0.0
2016-02-16,1234.33,1234.83,1194.79,1209.1,0.0
2016-02-17,1197.69,1214.11,1197.69,1212.3,0.0
2016-02-18,1210.8,1240.43,1202.8,1227.32,0.0
2016-02-19,1232.02,1234.03,1223.02,1231.62,0.0
2016-02-22,1227.32,1227.32,1204.2,1210.7,0.0
2016-02-23,1230.86,1231.22,1208.6,1212.73,0.0
2016-02-24,1231.22,1251.34,1231.22,1239.93,0.0
2016-02-25,1240.63,1242.74,1236.23,1239.43,0.0
2016-02-26,1233.63,1240.33,1213.41,1221.01,0.0
2016-02-29,1219.81,1242.23,1219.81,1235.13,0.0
2016-03-01,1241.73,1249.64,1230.22,1231.52,0.0
2016-03-02,1234.03,1243.84,1227.22,1242.33,0.0
2016-03-03,1239.63,1269.16,1239.23,1258.65,0.0
