datetime,open,high,low,close,volume
2015-05-01,2.857,2.923,2.833,2.897,0.0
2015-05-04,2.858,2.948,2.858,2.944,0.0
2015-05-05,2.931,2.944,2.887,2.902,0.0
2015-05-06,2.913,2.945,2.867,2.897,0.0
2015-05-07,2.947,3.001,2.83,2.921,0.0
2015-05-08,3.001,3.014,2.992,3.006,0.0
2015-05-11,3.042,3.063,2.918,2.925,0.0
2015-05-12,3.057,3.059,3.056,3.056,0.0
2015-05-13,3.023,3.102,2.981,3.063,0.0
2015-05-14,3.069,3.152,3.014,3.14,0.0
2015-05-15,3.149,3.169,3.101,3.148,0.0
2015-05-18,3.18,3.239,3.108,3.233,0.0
2015-05-19,3.139,3.241,3.091,3.222,0.0
2015-05-20,3.091,3.153,3.029,3.043,0.0
2015-05-21,3.068,3.171,3.048,3.078,0.0
2015-05-22,3.09,3.1,3.004,3.054,0.0
2015-05-26,3.004,3.005,2.91,2.945,0.0
2015-05-27,2.951,3.013,2.919,2.938,0.0
2015-05-28,2.861,2.969,2.835,2.896,0.0
2015-05-29,2.835,2.841,2.748,2.758,0.0
2015-06-01,2.729,2.789,2.717,2.765,0.0
2015-06-02,2.768,2.842,2.713,2.816,0.0
2015-06-03,2.821,2.843,2.74,2.749,0.0
2015-06-04,2.754,2.792,2.668,2.741,0.0
2015-06-05,2.743,2.762,2.694,2.703,0.0
2015-06-08,2.741,2.973,2.739,2.876,0.0
2015-06-09,2.973,2.975,2.97,2.971,0.0
2015-06-10,2.957,3.05,2.949,3.017,0.0
2015-06-11,3.033,3.047,2.937,2.949,0.0
2015-06-12,2.968,3.022,2.864,2.908,0.0
2015-06-15,3.022,3.047,2.996,3.015,0.0
2015-06-16,3.034,3.057,2.955,3.021,0.0
2015-06-17,3.03,3.084,2.963,2.98,0.0
2015-06-18,2.975,3.008,2.893,2.899,0.0
2015-06-19,2.906,2.961,2.859,2.939,0.0
2015-06-22,2.869,2.873,2.834,2.853,0.0
2015-06-23,2.858,2.914,2.831,2.845,0.0
2015-06-24,2.845,2.901,2.83,2.88,0.0
2015-06-25,2.89,2.979,2.872,2.975,0.0
2015-06-26,2.967,2.971,2.863,2.894,0.0
2015-06-29,2.876,2.968,2.855,2.928,0.0
2015-06-30,2.929,2.961,2.872,2.956,0.0
2015-07-01,2.939,2.981,2.882,2.905,0.0
2015-07-02,2.92,3.011,2.917,2.945,0.0
2015-07-06,2.96,2.982,2.85,2.877,0.0
2015-07-07,2.879,2.923,2.806,2.835,0.0
2015-07-08,2.848,2.877,2.793,2.802,0.0
2015-07-09,2.805,2.858,2.76,2.845,0.0
2015-07-10,2.852,2.93,2.842,2.891,0.0
2015-07-13,2.939,3.009,2.909,2.989,0.0
2015-07-14,2.993,3.062,2.945,2.964,0.0
2015-07-15,2.969,3.057,2.956,3.046,0.0
2015-07-16,3.042,3.058,2.966,2.979,0.0
2015-07-17,2.988,3.024,2.95,2.996,0.0
2015-07-20,2.967,3.0,2.907,2.947,0.0
2015-07-21,2.964,3.021,2.945,3.008,0.0
2015-07-22,3.016,3.043,2.965,3.024,0.0
2015-07-23,3.042,3.08,2.93,3.071,0.0
2015-07-24,2.93,2.938,2.894,2.897,0.0
2015-07-27,2.865,2.943,2.855,2.911,0.0
2015-07-28,2.918,2.977,2.899,2.944,0.0
2015-07-29,2.965,3.022,2.955,3.012,0.0
2015-07-30,2.983,3.022,2.883,2.889,0.0
2015-07-31,2.904,2.91,2.824,2.835,0.0
2015-08-03,2.844,2.907,2.825,2.868,0.0
2015-08-04,2.878,2.944,2.872,2.935,0.0
2015-08-05,2.934,2.988,2.902,2.92,0.0
2015-08-06,2.904,2.962,2.845,2.936,0.0
2015-08-07,2.928,2.948,2.882,2.92,0.0
2015-08-10,2.959,2.977,2.941,2.966,0.0
2015-08-11,2.959,2.986,2.918,2.968,0.0
2015-08-12,2.983,3.062,2.977,3.059,0.0
2015-08-13,2.966,3.059,2.932,2.971,0.0
2015-08-14,2.932,2.96,2.903,2.924,0.0
2015-08-17,2.895,2.91,2.837,2.847,0.0
2015-08-18,2.849,2.855,2.797,2.822,0.0
2015-08-19,2.834,2.859,2.812,2.835,0.0
2015-08-20,2.828,2.91,2.812,2.876,0.0
2015-08-21,2.873,2.881,2.787,2.793,0.0
2015-08-24,2.77,2.814,2.739,2.766,0.0
2015-08-25,2.788,2.821,2.768,2.802,0.0
2015-08-26,2.812,2.833,2.785,2.811,0.0
2015-08-27,2.798,2.814,2.744,2.753,0.0
2015-08-28,2.794,2.844,2.781,2.834,0.0
2015-08-31,2.798,2.81,2.759,2.807,0.0
2015-09-01,2.804,2.84,2.787,2.82,0.0
2015-09-02,2.807,2.817,2.747,2.764,0.0
2015-09-03,2.753,2.855,2.748,2.844,0.0
2015-09-04,2.829,2.836,2.764,2.771,0.0
2015-09-08,2.767,2.841,2.757,2.829,0.0
2015-09-09,2.811,2.825,2.757,2.767,0.0
2015-09-10,2.777,2.853,2.772,2.8,0.0
2015-09-11,2.794,2.836,2.776,2.811,0.0
2015-09-14,2.82,2.896,2.81,2.879,0.0
2015-09-15,2.889,2.916,2.84,2.847,0.0
2015-09-16,2.854,2.856,2.773,2.776,0.0
2015-09-17,2.785,2.796,2.717,2.768,0.0
2015-09-18,2.721,2.782,2.698,2.764,0.0
2015-09-21,2.698,2.71,2.662,2.686,0.0
2015-09-22,2.689,2.712,2.674,2.69,0.0
2015-09-23,2.689,2.718,2.67,2.681,0.0
2015-09-24,2.68,2.707,2.631,2.704,0.0
2015-09-25,2.699,2.721,2.64,2.676,0.0
2015-09-28,2.722,2.756,2.661,2.675,0.0
2015-09-29,2.786,2.79,2.694,2.699,0.0
2015-09-30,2.698,2.725,2.621,2.634,0.0
2015-10-01,2.632,2.652,2.526,2.539,0.0
2015-10-02,2.535,2.579,2.508,2.558,0.0
2015-10-05,2.558,2.6,2.535,2.557,0.0
2015-10-06,2.567,2.598,2.543,2.578,0.0
2015-10-07,2.584,2.642,2.562,2.582,0.0
2015-10-08,2.582,2.641,2.559,2.607,0.0
2015-10-09,2.597,2.633,2.577,2.611,0.0
2015-10-12,2.63,2.671,2.62,2.646,0.0
2015-10-13,2.655,2.667,2.596,2.607,0.0
2015-10-14,2.643,2.688,2.58,2.628,0.0
2015-10-15,2.622,2.691,2.56,2.672,0.0
2015-10-16,2.56,2.574,2.515,2.536,0.0
2015-10-19,2.572,2.59,2.542,2.549,0.0
2015-10-20,2.56,2.608,2.551,2.584,0.0
2015-10-21,2.602,2.602,2.483,2.509,0.0
2015-10-22,2.503,2.542,2.459,2.49,0.0
2015-10-23,2.464,2.478,2.318,2.329,0.0
2015-10-26,2.276,2.336,2.19,2.314,0.0
2015-10-27,2.19,2.208,2.17,2.184,0.0
2015-10-28,2.456,2.467,2.094,2.45,0.0
2015-10-29,2.47,2.476,2.438,2.45,0.0
2015-10-30,2.396,2.438,2.367,2.423,0.0
2015-11-02,2.367,2.378,2.329,2.355,0.0
2015-11-03,2.353,2.393,2.334,2.352,0.0
2015-11-04,2.454,2.487,2.354,2.366,0.0
2015-11-05,2.487,2.487,2.478,2.485,0.0
2015-11-06,2.467,2.503,2.418,2.475,0.0
2015-11-09,2.477,2.491,2.373,2.401,0.0
2015-11-10,2.406,2.467,2.392,2.422,0.0
2015-11-11,2.434,2.453,2.347,2.362,0.0
2015-11-12,2.364,2.414,2.332,2.359,0.0
2015-11-13,2.438,2.556,2.384,2.479,0.0
2015-11-16,2.456,2.568,2.435,2.558,0.0
2015-11-17,2.435,2.501,2.385,2.475,0.0
2015-11-18,2.472,2.515,2.43,2.45,0.0
2015-11-19,2.479,2.48,2.374,2.439,0.0
2015-11-20,2.308,2.375,2.302,2.33,0.0
2015-11-23,2.302,2.323,2.285,2.307,0.0
2015-11-24,2.303,2.315,2.223,2.296,0.0
2015-11-25,2.292,2.333,2.226,2.303,0.0
2015-11-27,2.389,2.406,2.301,2.309,0.0
2015-11-30,2.27,2.348,2.27,2.333,0.0
2015-12-01,2.328,2.358,2.289,2.329,0.0
2015-12-02,2.318,2.322,2.245,2.26,0.0
2015-12-03,2.269,2.296,2.224,2.276,0.0
2015-12-04,2.282,2.308,2.253,2.258,0.0
2015-12-07,2.253,2.257,2.15,2.157,0.0
2015-12-08,2.158,2.185,2.102,2.161,0.0
2015-12-09,2.171,2.211,2.138,2.152,0.0
2015-12-10,2.104,2.191,2.091,2.176,0.0
2015-12-11,2.094,2.099,1.997,2.0,0.0
2015-12-14,1.997,2.007,1.943,1.977,0.0
2015-12-15,1.922,1.988,1.883,1.898,0.0
2015-12-16,1.883,1.93,1.853,1.868,0.0
2015-12-17,1.903,1.935,1.873,1.88,0.0
2015-12-18,1.946,2.029,1.872,1.98,0.0
2015-12-21,2.029,2.033,2.017,2.031,0.0
2015-12-22,2.043,2.092,1.945,2.02,0.0
2015-12-23,2.092,2.097,2.069,2.07,0.0
2015-12-24,2.129,2.334,2.064,2.13,0.0
2015-12-28,2.392,2.476,2.321,2.449,0.0
2015-12-29,2.429,2.491,2.424,2.474,0.0
2015-12-30,2.424,2.437,2.394,2.433,0.0
2015-12-31,2.372,2.482,2.369,2.439,0.0
2016-01-04,2.47,2.479,2.439,2.475,0.0
2016-01-05,2.39,2.449,2.354,2.427,0.0
2016-01-06,2.503,2.532,2.431,2.49,0.0
2016-01-07,2.532,2.535,2.514,2.526,0.0
2016-01-08,2.502,2.604,2.481,2.58,0.0
2016-01-11,2.519,2.589,2.469,2.512,0.0
2016-01-12,2.42,2.47,2.362,2.458,0.0
2016-01-13,2.362,2.425,2.355,2.368,0.0
2016-01-14,2.272,2.394,2.238,2.308,0.0
2016-01-15,2.238,2.247,2.177,2.192,0.0
2016-01-19,2.262,2.265,2.182,2.249,0.0
2016-01-20,2.185,2.263,2.157,2.188,0.0
2016-01-21,2.263,2.285,2.262,2.264,0.0
2016-01-22,2.243,2.263,2.204,2.233,0.0
2016-01-25,2.25,2.27,2.172,2.252,0.0
2016-01-26,2.238,2.316,2.221,2.275,0.0
2016-01-27,2.272,2.339,2.256,2.285,0.0
2016-01-28,2.311,2.329,2.303,2.304,0.0
2016-01-29,2.321,2.416,2.315,2.399,0.0
2016-02-01,2.31,2.325,2.22,2.246,0.0
2016-02-02,2.158,2.234,2.125,2.212,0.0
2016-02-03,2.125,2.155,2.079,2.127,0.0
2016-02-04,2.131,2.138,2.039,2.058,0.0
2016-02-05,2.083,2.198,2.068,2.119,0.0
2016-02-08,2.198,2.267,2.197,2.234,0.0
2016-02-09,2.222,2.227,2.155,2.19,0.0
2016-02-10,2.189,2.201,2.105,2.136,0.0
2016-02-11,2.092,2.185,2.081,2.154,0.0
2016-02-12,2.081,2.114,2.036,2.052,0.0
2016-02-16,2.037,2.049,1.961,1.986,0.0
2016-02-17,2.009,2.046,1.976,2.027,0.0
2016-02-18,1.996,2.039,1.937,1.964,0.0
2016-02-19,1.937,1.952,1.872,1.883,0.0
2016-02-22,1.862,1.925,1.844,1.901,0.0
2016-02-23,1.912,1.929,1.851,1.86,0.0
2016-02-24,1.863,1.887,1.838,1.856,0.0
2016-02-25,1.851,1.854,1.834,1.852,0.0
2016-02-26,1.864,1.884,1.807,1.869,0.0
2016-02-29,1.781,1.852,1.764,1.835,0.0
2016-03-01,1.841,1.853,1.82,1.839,0.0
2016-03-02,1.813,1.822,1.745,1.8,0.0
2016-03-03,1.745,1.769,1.701,1.711,0.0
2016-03-04,1.803,1.812,1.681,1.778,0.0
2016-03-07,1.812,1.816,1.786,1.799,0.0
2016-03-08,1.782,1.816,1.751,1.787,0.0
2016-03-09,1.803,1.862,1.79,1.829,0.0
2016-03-10,1.841,1.891,1.809,1.866,0.0
2016-03-11,1.878,1.94,1.87,1.902,0.0
2016-03-14,1.898,1.938,1.848,1.899,0.0
2016-03-15,1.912,1.981,1.887,1.932,0.0
2016-03-16,2.005,2.037,1.9,2.028,0.0
2016-03-17,2.037,2.037,2.037,2.037,0.0
2016-03-18,2.018,2.043,1.963,1.99,0.0
2016-03-21,1.986,1.991,1.892,1.933,0.0
2016-03-22,1.901,1.957,1.875,1.909,0.0
2016-03-23,1.958,1.982,1.869,1.879,0.0
2016-03-24,1.869,1.907,1.85,1.885,0.0
2016-03-28,1.874,1.988,1.843,1.974,0.0
2016-03-29,2.052,2.066,1.967,1.986,0.0
2016-03-30,2.066,2.103,2.049,2.083,0.0
2016-03-31,2.067,2.117,2.049,2.099,0.0
2016-04-01,2.049,2.079,2.009,2.042,0.0
2016-04-04,2.075,2.165,2.062,2.085,0.0
2016-04-05,2.038,2.13,2.026,2.092,0.0
2016-04-06,2.091,2.109,1.98,2.059,0.0
2016-04-07,2.109,2.113,2.097,2.106,0.0
2016-04-08,2.123,2.133,2.036,2.095,0.0
2016-04-11,2.023,2.106,1.99,2.011,0.0
2016-04-12,2.106,2.119,2.086,2.092,0.0
2016-04-13,2.104,2.141,2.09,2.125,0.0
2016-04-14,2.134,2.138,2.043,2.056,0.0
2016-04-15,2.047,2.053,1.967,1.985,0.0
2016-04-18,1.986,2.147,1.954,2.008,0.0
2016-04-19,2.147,2.188,2.146,2.179,0.0
2016-04-20,2.18,2.231,2.144,2.16,0.0
2016-04-21,2.187,2.222,2.143,2.209,0.0
2016-04-22,2.256,2.268,2.211,2.257,0.0
2016-04-25,2.244,2.271,2.163,2.268,0.0
2016-04-26,2.163,2.173,2.08,2.121,0.0
2016-04-27,2.15,2.154,2.128,2.131,0.0
2016-04-28,2.155,2.287,2.144,2.18,0.0
2016-04-29,2.248,2.291,2.225,2.237,0.0
2016-05-02,2.225,2.237,2.193,2.228,0.0
2016-05-03,2.143,2.196,2.13,2.177,0.0
2016-05-04,2.177,2.255,2.151,2.235,0.0
2016-05-05,2.208,2.274,2.175,2.263,0.0
2016-05-06,2.175,2.201,2.134,2.193,0.0
2016-05-09,2.196,2.219,2.171,2.19,0.0
2016-05-10,2.192,2.268,2.182,2.252,0.0
2016-05-11,2.259,2.279,2.206,2.268,0.0
2016-05-12,2.258,2.281,2.218,2.249,0.0
2016-05-13,2.227,2.259,2.166,2.188,0.0
2016-05-16,2.171,2.178,2.112,2.118,0.0
2016-05-17,2.126,2.174,2.119,2.138,0.0
2016-05-18,2.144,2.147,2.081,2.089,0.0
2016-05-19,2.141,2.142,2.141,2.141,0.0
2016-05-20,2.126,2.165,2.103,2.152,0.0
2016-05-23,2.185,2.226,2.14,2.145,0.0
2016-05-24,2.074,2.178,2.067,2.128,0.0
2016-05-25,2.067,2.096,2.041,2.079,0.0
2016-05-26,2.148,2.239,1.993,2.187,0.0
2016-05-27,2.358,2.392,2.193,2.371,0.0
2016-05-31,2.392,2.404,2.36,2.388,0.0
2016-06-01,2.387,2.49,2.377,2.485,0.0
2016-06-02,2.473,2.53,2.464,2.51,0.0
2016-06-03,2.509,2.561,2.491,2.503,0.0
2016-06-06,2.546,2.589,2.504,2.574,0.0
2016-06-07,2.551,2.6,2.513,2.582,0.0
2016-06-08,2.573,2.737,2.56,2.728,0.0
2016-06-09,2.737,2.745,2.724,2.732,0.0
2016-06-10,2.706,2.723,2.663,2.668,0.0
2016-06-13,2.709,2.75,2.682,2.698,0.0
2016-06-14,2.689,2.736,2.646,2.718,0.0
2016-06-15,2.721,2.749,2.699,2.709,0.0
2016-06-16,2.705,2.754,2.665,2.693,0.0
2016-06-17,2.697,2.772,2.666,2.738,0.0
2016-06-20,2.768,2.88,2.766,2.867,0.0
2016-06-21,2.863,2.908,2.829,2.889,0.0
2016-06-22,2.886,2.896,2.773,2.794,0.0
2016-06-23,2.787,2.839,2.728,2.816,0.0
2016-06-24,2.821,2.821,2.74,2.778,0.0
2016-06-27,2.834,3.052,2.746,2.826,0.0
2016-06-28,3.052,3.062,3.023,3.045,0.0
2016-06-29,3.005,3.104,2.968,2.988,0.0
2016-06-30,2.988,3.074,2.976,3.052,0.0
2016-07-01,3.059,3.129,3.017,3.118,0.0
2016-07-05,2.952,3.074,2.889,2.893,0.0
2016-07-06,2.889,2.925,2.815,2.908,0.0
2016-07-07,2.926,2.965,2.844,2.899,0.0
2016-07-08,2.879,2.949,2.868,2.924,0.0
2016-07-11,2.892,2.997,2.836,2.939,0.0
2016-07-12,2.836,2.871,2.805,2.854,0.0
2016-07-13,2.858,2.921,2.82,2.857,0.0
2016-07-14,2.871,2.89,2.828,2.846,0.0
2016-07-15,2.849,2.9,2.786,2.877,0.0
2016-07-18,2.896,2.921,2.826,2.841,0.0
2016-07-19,2.853,2.909,2.833,2.847,0.0
2016-07-20,2.841,2.849,2.764,2.774,0.0
2016-07-21,2.872,2.913,2.74,2.777,0.0
2016-07-22,2.913,2.917,2.908,2.917,0.0
2016-07-25,2.901,2.941,2.847,2.867,0.0
2016-07-26,2.853,2.893,2.799,2.831,0.0
2016-07-27,2.77,2.991,2.77,2.886,0.0
2016-07-28,2.991,3.02,2.964,2.999,0.0
2016-07-29,2.982,3.038,2.961,3.002,0.0
2016-08-01,2.964,3.002,2.889,2.892,0.0
2016-08-02,2.977,2.99,2.847,2.924,0.0
2016-08-03,2.99,2.991,2.99,2.991,0.0
2016-08-04,2.966,3.011,2.933,2.958,0.0
2016-08-05,2.953,2.956,2.877,2.893,0.0
2016-08-08,2.869,2.882,2.823,2.868,0.0
2016-08-09,2.841,2.864,2.734,2.793,0.0
2016-08-10,2.734,2.766,2.663,2.673,0.0
2016-08-11,2.682,2.719,2.64,2.663,0.0
2016-08-12,2.646,2.74,2.633,2.699,0.0
2016-08-15,2.677,2.751,2.673,2.703,0.0
2016-08-16,2.704,2.745,2.693,2.732,0.0
2016-08-17,2.742,2.764,2.698,2.734,0.0
2016-08-18,2.729,2.815,2.716,2.791,0.0
2016-08-19,2.776,2.787,2.681,2.697,0.0
2016-08-22,2.71,2.814,2.71,2.796,0.0
2016-08-23,2.788,2.886,2.768,2.882,0.0
2016-08-24,2.882,2.942,2.869,2.918,0.0
2016-08-25,2.912,2.988,2.869,2.971,0.0
2016-08-26,2.964,3.034,2.919,2.997,0.0
2016-08-29,2.972,3.023,2.955,2.978,0.0
2016-08-30,3.02,3.072,2.938,2.951,0.0
2016-08-31,2.958,3.027,2.931,3.013,0.0
2016-09-01,3.005,3.016,2.907,2.914,0.0
2016-09-02,2.928,2.949,2.891,2.914,0.0
2016-09-06,2.885,2.891,2.826,2.836,0.0
2016-09-07,2.806,2.942,2.782,2.834,0.0
2016-09-08,2.942,2.944,2.934,2.94,0.0
2016-09-09,2.933,2.968,2.905,2.919,0.0
2016-09-12,2.943,3.052,2.943,3.043,0.0
2016-09-13,3.029,3.071,3.013,3.036,0.0
