datetime,open,high,low,close,volume
2017-05-01 00:00:00,3.296,3.305,3.293,3.3,102.0
2017-05-01 04:00:00,3.299,3.315,3.296,3.307,147.0
2017-05-01 08:00:00,3.307,3.333,3.307,3.325,151.0
2017-05-01 12:00:00,3.326,3.337,3.24,3.254,234.0
2017-05-01 16:00:00,3.254,3.259,3.226,3.258,218.0
2017-05-01 20:00:00,3.259,3.261,3.245,3.259,72.0
2017-05-02 00:00:00,3.259,3.26,3.25,3.253,83.0
2017-05-02 04:00:00,3.254,3.265,3.248,3.259,121.0
2017-05-02 08:00:00,3.261,3.274,3.251,3.263,156.0
2017-05-02 12:00:00,3.264,3.303,3.224,3.229,234.0
2017-05-02 16:00:00,3.228,3.236,3.21,3.219,207.0
2017-05-02 20:00:00,3.219,3.227,3.212,3.22,85.0
2017-05-03 00:00:00,3.22,3.224,3.216,3.22,49.0
2017-05-03 04:00:00,3.219,3.229,3.214,3.225,60.0
2017-05-03 08:00:00,3.226,3.241,3.219,3.23,165.0
2017-05-03 12:00:00,3.23,3.26,3.212,3.25,233.0
2017-05-03 16:00:00,3.251,3.268,3.247,3.25,188.0
2017-05-03 20:00:00,3.248,3.261,3.245,3.26,65.0
2017-05-04 00:00:00,3.26,3.263,3.254,3.259,56.0
2017-05-04 04:00:00,3.259,3.263,3.254,3.255,83.0
2017-05-04 08:00:00,3.255,3.292,3.251,3.273,166.0
2017-05-04 12:00:00,3.273,3.282,3.222,3.228,230.0
2017-05-04 16:00:00,3.227,3.241,3.208,3.239,213.0
2017-05-04 20:00:00,3.24,3.253,3.227,3.245,96.0
2017-05-05 00:00:00,3.243,3.246,3.236,3.245,76.0
2017-05-05 04:00:00,3.246,3.254,3.23,3.253,114.0
2017-05-05 08:00:00,3.253,3.265,3.248,3.258,167.0
2017-05-05 12:00:00,3.258,3.289,3.245,3.279,226.0
2017-05-05 16:00:00,3.278,3.32,3.278,3.313,220.0
2017-05-05 20:00:00,3.311,3.319,3.311,3.316,43.0
2017-05-08 00:00:00,3.296,3.313,3.291,3.292,87.0
2017-05-08 04:00:00,3.292,3.31,3.281,3.291,136.0
2017-05-08 08:00:00,3.29,3.297,3.27,3.277,158.0
2017-05-08 12:00:00,3.277,3.281,3.192,3.202,231.0
2017-05-08 16:00:00,3.201,3.235,3.198,3.228,187.0
2017-05-08 20:00:00,3.23,3.239,3.2,3.239,65.0
2017-05-09 00:00:00,3.24,3.245,3.234,3.24,44.0
2017-05-09 04:00:00,3.239,3.248,3.231,3.245,120.0
2017-05-09 08:00:00,3.245,3.273,3.234,3.265,143.0
2017-05-09 12:00:00,3.266,3.281,3.238,3.279,231.0
2017-05-09 16:00:00,3.28,3.297,3.272,3.274,223.0
2017-05-09 20:00:00,3.274,3.278,3.266,3.276,72.0
2017-05-10 00:00:00,3.276,3.279,3.266,3.27,55.0
2017-05-10 04:00:00,3.27,3.277,3.261,3.266,82.0
2017-05-10 08:00:00,3.265,3.314,3.263,3.304,180.0
2017-05-10 12:00:00,3.303,3.404,3.3,3.364,234.0
2017-05-10 16:00:00,3.365,3.371,3.339,3.34,223.0
2017-05-10 20:00:00,3.34,3.356,3.332,3.347,68.0
2017-05-11 00:00:00,3.347,3.353,3.345,3.352,49.0
2017-05-11 04:00:00,3.353,3.357,3.338,3.343,126.0
2017-05-11 08:00:00,3.344,3.381,3.344,3.38,172.0
