datetime,open,high,low,close,volume
2015-05-01,66.86,67.01,65.6,66.54,0.0
2015-05-04,66.48,67.18,66.03,66.53,0.0
2015-05-05,66.41,68.49,66.22,67.6,0.0
2015-05-06,67.79,69.72,67.43,67.85,0.0
2015-05-07,66.8,68.58,65.72,67.42,0.0
2015-05-08,65.72,66.2,64.31,65.47,0.0
2015-05-11,65.45,65.83,64.33,64.99,0.0
2015-05-12,64.85,67.54,64.76,66.94,0.0
2015-05-13,67.4,68.25,66.49,66.89,0.0
2015-05-14,66.62,67.37,66.33,66.67,0.0
2015-05-15,66.83,67.08,65.45,66.89,0.0
2015-05-18,66.99,67.96,66.0,66.35,0.0
2015-05-19,66.27,66.47,64.03,64.1,0.0
2015-05-20,64.57,65.26,64.18,65.11,0.0
2015-05-21,64.97,66.96,64.91,66.62,0.0
2015-05-22,66.67,66.72,65.18,65.45,0.0
2015-05-25,65.64,66.3,64.8,65.6,0.0
2015-05-26,65.78,65.78,63.37,63.8,0.0
2015-05-27,63.97,64.75,62.04,62.14,0.0
2015-05-28,63.62,65.8,61.32,64.76,0.0
2015-05-29,65.8,65.91,65.69,65.8,0.0
2015-06-01,65.67,65.88,64.33,64.96,0.0
2015-06-02,64.98,65.96,64.66,65.57,0.0
2015-06-03,65.46,65.48,63.58,63.88,0.0
2015-06-04,63.89,64.16,61.86,62.11,0.0
2015-06-05,62.16,63.51,61.02,63.39,0.0
2015-06-08,63.14,63.46,62.55,62.77,0.0
2015-06-09,62.89,65.31,62.8,64.96,0.0
2015-06-10,65.12,66.44,64.96,65.78,0.0
2015-06-11,65.65,66.14,64.58,65.19,0.0
2015-06-12,64.95,65.03,63.76,63.95,0.0
2015-06-15,63.7,64.04,62.32,62.69,0.0
2015-06-16,63.88,64.49,63.5,63.78,0.0
2015-06-17,63.68,65.55,62.68,63.95,0.0
2015-06-18,63.82,65.04,63.52,64.34,0.0
2015-06-19,64.28,64.64,62.42,63.1,0.0
2015-06-22,62.65,63.82,62.18,63.42,0.0
2015-06-23,63.29,64.97,62.84,64.53,0.0
2015-06-24,64.74,65.13,63.09,63.57,0.0
2015-06-25,63.58,64.03,62.8,63.28,0.0
2015-06-26,63.42,63.7,62.58,63.34,0.0
2015-06-29,62.93,63.04,61.43,62.09,0.0
2015-06-30,61.85,63.91,61.79,63.67,0.0
2015-07-01,63.1,63.43,61.92,62.09,0.0
2015-07-02,62.0,63.28,61.83,62.15,0.0
2015-07-03,61.75,62.14,60.07,60.56,0.0
2015-07-06,57.76,60.07,56.92,59.75,0.0
2015-07-07,56.92,57.9,55.17,56.92,0.0
2015-07-08,57.32,57.82,55.94,57.12,0.0
2015-07-09,57.17,59.34,57.08,58.68,0.0
2015-07-10,58.56,59.73,57.93,58.8,0.0
2015-07-13,58.42,58.9,56.91,57.92,0.0
2015-07-14,57.78,58.89,56.5,58.58,0.0
2015-07-15,58.7,58.88,56.93,57.12,0.0
2015-07-16,57.38,58.28,57.02,57.58,0.0
2015-07-17,57.0,57.42,56.47,57.17,0.0
2015-07-20,57.19,57.51,56.4,56.72,0.0
2015-07-21,56.62,57.51,56.4,57.11,0.0
2015-07-22,56.95,56.97,55.99,56.2,0.0
2015-07-23,56.11,56.6,55.17,55.34,0.0
2015-07-24,55.46,55.67,54.37,54.69,0.0
2015-07-27,54.52,54.96,52.9,53.54,0.0
2015-07-28,53.15,54.15,52.35,53.37,0.0
2015-07-29,53.06,54.4,52.58,53.45,0.0
2015-07-30,53.67,54.45,53.09,53.38,0.0
2015-07-31,53.5,53.54,51.69,52.28,0.0
2015-08-03,50.45,52.07,49.76,50.85,0.0
2015-08-04,49.76,50.51,49.64,50.05,0.0
2015-08-05,50.2,51.05,49.08,49.65,0.0
2015-08-06,49.78,49.89,48.94,49.58,0.0
2015-08-07,49.68,50.12,48.48,48.67,0.0
2015-08-10,48.46,50.84,48.3,49.79,0.0
2015-08-11,51.14,51.16,49.44,50.55,0.0
2015-08-12,49.44,50.07,48.78,49.72,0.0
