datetime,open,high,low,close,volume
2017-05-01 00:00:00,51.86,51.99,51.86,51.91,145.0
2017-05-01 04:00:00,51.91,51.97,51.76,51.85,469.0
2017-05-01 08:00:00,51.86,51.93,51.71,51.83,657.0
2017-05-01 12:00:00,51.84,51.86,51.25,51.44,1811.0
2017-05-01 16:00:00,51.43,51.58,51.35,51.47,762.0
2017-05-01 20:00:00,51.46,51.47,51.42,51.43,40.0
2017-05-02 00:00:00,51.32,51.59,51.32,51.51,286.0
2017-05-02 04:00:00,51.52,51.66,51.33,51.63,663.0
2017-05-02 08:00:00,51.63,52.16,51.62,52.02,1541.0
2017-05-02 12:00:00,52.01,52.03,51.1,51.21,2284.0
2017-05-02 16:00:00,51.2,51.23,50.17,50.46,2266.0
2017-05-02 20:00:00,50.47,50.95,50.39,50.94,292.0
2017-05-03 00:00:00,50.89,51.1,50.89,50.99,298.0
2017-05-03 04:00:00,50.99,51.02,50.72,50.72,643.0
2017-05-03 08:00:00,50.73,51.17,50.73,50.75,1405.0
2017-05-03 12:00:00,50.75,50.9,50.2,50.6,3983.0
2017-05-03 16:00:00,50.6,51.06,50.48,50.73,1754.0
2017-05-03 20:00:00,50.75,50.75,50.5,50.55,170.0
2017-05-04 00:00:00,50.65,50.76,50.63,50.73,275.0
2017-05-04 04:00:00,50.75,50.76,50.3,50.37,542.0
2017-05-04 08:00:00,50.36,50.59,50.04,50.19,979.0
2017-05-04 12:00:00,50.18,50.27,48.57,48.7,6395.0
2017-05-04 16:00:00,48.7,48.92,48.14,48.32,3222.0
2017-05-04 20:00:00,48.33,48.52,48.29,48.42,215.0
2017-05-05 00:00:00,48.39,48.64,46.67,47.13,2398.0
2017-05-05 04:00:00,47.14,48.27,47.02,48.2,2670.0
2017-05-05 08:00:00,48.21,48.97,48.18,48.39,2475.0
2017-05-05 12:00:00,48.39,49.7,47.9,49.24,4815.0
2017-05-05 16:00:00,49.25,49.36,48.85,49.35,1731.0
