datetime,open,high,low,close,volume
2015-05-01,60.34,60.45,58.85,59.69,0.0
2015-05-04,59.84,60.28,58.99,59.47,0.0
2015-05-05,59.49,61.66,59.17,60.95,0.0
2015-05-06,61.28,63.15,61.09,61.49,0.0
2015-05-07,61.25,61.87,59.03,59.48,0.0
2015-05-08,59.56,60.45,58.67,59.93,0.0
2015-05-11,59.97,60.4,59.29,59.79,0.0
2015-05-12,59.81,61.92,59.66,61.31,0.0
2015-05-13,61.79,62.42,60.57,61.05,0.0
2015-05-14,60.65,61.4,59.9,60.43,0.0
2015-05-15,60.22,60.52,58.96,60.24,0.0
2015-05-18,60.4,61.44,59.6,59.97,0.0
2015-05-19,60.09,60.18,57.61,57.78,0.0
2015-05-20,58.85,59.58,58.63,59.52,0.0
2015-05-21,59.35,61.5,59.23,61.28,0.0
2015-05-22,61.22,61.36,59.89,60.27,0.0
2015-05-26,60.6,60.8,58.24,58.56,0.0
2015-05-27,58.85,59.49,57.89,58.04,0.0
2015-05-28,60.15,61.24,57.03,60.29,0.0
2015-05-29,61.2,61.26,60.84,60.88,0.0
2015-06-01,60.84,61.2,59.87,60.75,0.0
2015-06-02,60.73,62.14,60.64,61.82,0.0
2015-06-03,61.58,61.99,59.88,60.19,0.0
2015-06-04,60.12,60.49,58.36,58.53,0.0
2015-06-05,58.52,59.77,57.35,59.67,0.0
2015-06-08,59.5,59.67,58.39,58.67,0.0
2015-06-09,58.84,61.24,58.76,60.69,0.0
2015-06-10,61.14,62.39,61.0,61.99,0.0
2015-06-11,61.7,62.09,60.76,61.33,0.0
2015-06-12,61.1,61.19,60.28,60.51,0.0
2015-06-15,60.45,60.53,59.27,60.07,0.0
2015-06-16,60.15,60.92,59.96,60.52,0.0
2015-06-17,60.58,61.94,59.39,60.47,0.0
2015-06-18,60.33,61.45,59.79,61.0,0.0
2015-06-19,61.05,61.11,59.42,60.16,0.0
2015-06-22,59.98,60.85,59.47,60.23,0.0
2015-06-23,60.76,62.05,60.1,61.57,0.0
2015-06-24,61.7,62.13,60.35,60.82,0.0
2015-06-25,60.77,61.01,59.97,60.25,0.0
2015-06-26,60.21,60.51,59.3,60.18,0.0
2015-06-29,59.38,59.81,58.57,58.86,0.0
2015-06-30,58.8,60.24,58.47,60.01,0.0
2015-07-01,59.52,59.52,57.2,57.48,0.0
2015-07-02,57.39,58.48,57.02,57.45,0.0
2015-07-06,53.61,57.31,53.23,55.19,0.0
2015-07-07,53.23,53.92,53.05,53.81,0.0
2015-07-08,53.39,53.45,51.38,52.12,0.0
2015-07-09,52.3,54.03,51.95,53.26,0.0
2015-07-10,52.96,54.38,52.44,53.22,0.0
2015-07-13,52.63,53.66,51.73,52.68,0.0
2015-07-14,53.22,53.92,53.04,53.53,0.0
2015-07-15,53.89,53.99,51.68,51.88,0.0
2015-07-16,52.09,52.65,51.31,51.38,0.0
2015-07-17,51.38,51.7,50.6,51.36,0.0
2015-07-20,51.23,51.73,50.31,50.61,0.0
2015-07-21,50.41,51.49,50.23,50.82,0.0
2015-07-22,51.17,51.17,49.49,49.64,0.0
2015-07-23,49.68,50.08,48.65,48.89,0.0
2015-07-24,49.24,49.48,48.16,48.58,0.0
2015-07-27,48.44,48.64,47.34,47.82,0.0
2015-07-28,47.45,48.88,47.11,48.42,0.0
2015-07-29,48.25,49.97,47.82,49.24,0.0
2015-07-30,49.28,49.81,48.78,48.96,0.0
2015-07-31,48.91,49.07,47.13,47.55,0.0
2015-08-03,47.29,47.37,45.49,45.58,0.0
2015-08-04,45.77,46.65,45.7,46.16,0.0
2015-08-05,46.38,47.13,45.24,45.56,0.0
2015-08-06,45.57,45.68,44.6,45.07,0.0
2015-08-07,45.23,45.57,44.1,44.27,0.0
2015-08-10,43.98,45.42,43.75,45.37,0.0
