datetime,open,high,low,close,volume
2017-05-01 00:00:00,49.34,49.42,49.27,49.35,118.0
2017-05-01 04:00:00,49.34,49.38,49.18,49.25,306.0
2017-05-01 08:00:00,49.26,49.33,49.12,49.29,544.0
2017-05-01 12:00:00,49.29,49.29,48.69,48.82,1466.0
2017-05-01 16:00:00,48.81,48.97,48.73,48.86,850.0
2017-05-01 20:00:00,48.85,48.9,48.79,48.8,112.0
2017-05-02 00:00:00,48.83,48.92,48.81,48.88,181.0
2017-05-02 04:00:00,48.9,49.01,48.68,48.96,501.0
2017-05-02 08:00:00,48.97,49.4,48.97,49.27,1004.0
2017-05-02 12:00:00,49.26,49.29,48.5,48.55,1701.0
2017-05-02 16:00:00,48.55,48.57,47.49,47.78,1985.0
2017-05-02 20:00:00,47.77,48.27,47.71,48.23,331.0
2017-05-03 00:00:00,48.22,48.31,48.17,48.2,171.0
2017-05-03 04:00:00,48.2,48.23,47.96,47.97,549.0
2017-05-03 08:00:00,47.97,48.38,47.96,47.98,1067.0
2017-05-03 12:00:00,47.97,48.11,47.44,47.81,3082.0
2017-05-03 16:00:00,47.8,48.19,47.69,47.88,1419.0
2017-05-03 20:00:00,47.88,47.89,47.62,47.84,225.0
2017-05-04 00:00:00,47.84,47.92,47.82,47.9,181.0
2017-05-04 04:00:00,47.91,47.91,47.48,47.56,480.0
2017-05-04 08:00:00,47.56,47.75,47.26,47.37,838.0
2017-05-04 12:00:00,47.36,47.43,45.81,45.94,3810.0
2017-05-04 16:00:00,45.93,46.1,45.45,45.57,2902.0
2017-05-04 20:00:00,45.56,45.79,45.54,45.76,296.0
2017-05-05 00:00:00,45.75,45.83,43.94,44.39,1556.0
2017-05-05 04:00:00,44.39,45.4,44.23,45.35,2133.0
2017-05-05 08:00:00,45.36,46.08,45.34,45.52,2021.0
2017-05-05 12:00:00,45.52,46.86,45.08,46.51,4559.0
2017-05-05 16:00:00,46.52,46.59,46.15,46.56,1486.0
2017-05-05 20:00:00,46.56,46.71,46.54,46.63,123.0
2017-05-07 20:00:00,46.57,47.18,46.52,47.15,314.0
2017-05-08 00:00:00,47.14,47.2,46.95,47.08,471.0
2017-05-08 04:00:00,47.09,47.09,46.28,46.46,1387.0
2017-05-08 08:00:00,46.45,46.85,46.22,46.29,2158.0
2017-05-08 12:00:00,46.29,47.01,45.94,46.17,4400.0
2017-05-08 16:00:00,46.16,46.74,46.05,46.65,1142.0
2017-05-08 20:00:00,46.66,46.85,46.65,46.8,196.0
2017-05-09 00:00:00,46.79,46.91,46.64,46.73,433.0
2017-05-09 04:00:00,46.73,47.02,46.53,46.92,780.0
2017-05-09 08:00:00,46.91,46.98,46.46,46.55,1312.0
2017-05-09 12:00:00,46.54,46.66,46.04,46.28,2379.0
2017-05-09 16:00:00,46.28,46.35,45.81,46.17,1411.0
2017-05-09 20:00:00,46.18,46.52,46.08,46.33,273.0
2017-05-10 04:00:00,46.37,46.61,46.34,46.43,387.0
2017-05-10 08:00:00,46.43,46.71,46.4,46.61,1207.0
2017-05-10 12:00:00,46.61,47.9,46.52,47.73,2716.0
2017-05-10 16:00:00,47.73,48.01,47.48,47.63,1432.0
2017-05-10 20:00:00,47.61,47.64,47.49,47.51,79.0
2017-05-11 04:00:00,48.07,48.19,47.93,48.16,326.0
2017-05-11 08:00:00,48.15,48.41,48.1,48.18,1203.0
2017-05-11 12:00:00,48.17,48.47,47.82,48.31,2114.0
2017-05-11 16:00:00,48.32,48.33,47.98,47.98,850.0
2017-05-11 20:00:00,47.99,48.09,47.99,48.0,65.0
2017-05-12 04:00:00,48.26,48.27,48.09,48.13,276.0
2017-05-12 08:00:00,48.13,48.17,48.12,48.12,1102.0
2017-05-12 12:00:00,48.13,48.3,47.62,47.94,2065.0
2017-05-12 16:00:00,47.95,48.18,47.81,48.12,701.0
2017-05-12 20:00:00,48.11,48.15,47.99,48.0,55.0
2017-05-15 04:00:00,49.07,49.32,49.04,49.18,385.0
2017-05-15 08:00:00,49.17,49.7,49.12,49.63,1660.0
2017-05-15 12:00:00,49.64,49.9,49.22,49.4,2534.0
2017-05-15 16:00:00,49.4,49.46,48.99,49.17,956.0
2017-05-15 20:00:00,49.15,49.17,48.99,49.0,94.0
2017-05-16 04:00:00,49.33,49.45,49.03,49.42,425.0
2017-05-16 08:00:00,49.42,49.57,49.23,49.43,1183.0
2017-05-16 12:00:00,49.43,49.62,48.91,49.07,1986.0
2017-05-16 16:00:00,49.08,49.19,48.8,48.86,892.0
2017-05-16 20:00:00,48.86,48.89,48.42,48.44,254.0
2017-05-17 04:00:00,48.73,48.73,48.53,48.53,290.0
2017-05-17 08:00:00,48.53,49.32,48.53,49.2,1117.0
2017-05-17 12:00:00,49.21,49.76,48.71,49.59,2169.0
2017-05-17 16:00:00,49.61,49.64,49.2,49.26,1128.0
2017-05-17 20:00:00,49.26,49.32,49.06,49.15,81.0
2017-05-18 04:00:00,49.26,49.37,49.17,49.24,343.0
2017-05-18 08:00:00,49.25,49.34,48.36,48.86,1986.0
2017-05-18 12:00:00,48.85,49.8,48.66,49.72,3057.0
2017-05-18 16:00:00,49.73,49.9,49.56,49.59,1005.0
2017-05-18 20:00:00,49.59,49.65,49.55,49.55,85.0
2017-05-19 04:00:00,49.98,50.14,49.81,50.05,436.0
2017-05-19 08:00:00,50.05,50.36,50.02,50.29,2110.0
2017-05-19 12:00:00,50.29,50.74,50.19,50.68,4739.0
2017-05-19 16:00:00,50.69,50.79,50.46,50.7,1031.0
2017-05-19 20:00:00,50.7,50.84,50.7,50.8,116.0
2017-05-22 04:00:00,51.04,51.12,50.94,51.07,437.0
2017-05-22 08:00:00,51.08,51.2,50.97,51.2,1430.0
2017-05-22 12:00:00,51.19,51.42,50.73,51.05,3117.0
2017-05-22 16:00:00,51.04,51.17,50.85,51.04,1294.0
2017-05-22 20:00:00,51.04,51.07,50.97,50.97,84.0
2017-05-23 04:00:00,50.75,50.84,50.64,50.8,494.0
2017-05-23 08:00:00,50.8,51.06,50.61,51.04,1292.0
2017-05-23 12:00:00,51.04,51.44,50.98,51.26,2114.0
2017-05-23 16:00:00,51.27,51.56,51.15,51.52,1031.0
2017-05-23 20:00:00,51.53,51.69,51.36,51.44,278.0
2017-05-24 04:00:00,51.63,51.79,51.57,51.76,337.0
2017-05-24 08:00:00,51.74,51.89,51.39,51.5,1634.0
2017-05-24 12:00:00,51.51,51.82,51.07,51.15,3690.0
